nome,ruolo,ruolo_mantra,squadra,quotazione_iniziale,quotazione_attuale,fonte
Gabrielloni*,A,Pc,COM,1,1,serie_a
Nava,P,Por,CRE,1,1,serie_a
Ceccherini,D,Dd;Dc,CRE,4,1,serie_a
Quagliata*,D,Ds;E,CRE,1,1,serie_a
Sernicola*,D,Dd;Ds;E,CRE,1,1,serie_a
Valoti*,C,C;T,CRE,7,1,serie_a
Nasti*,A,Pc,CRE,1,1,serie_a
Martinelli T.*,P,Por,FIO,1,1,serie_a
Bianco*,C,M;C,FIO,1,1,serie_a
Siegrist,P,Por,GEN,1,1,serie_a
Sommariva,P,Por,GEN,1,1,serie_a
Stanciu*,C,C;T,GEN,8,1,serie_a
Di Gennaro,P,Por,INT,1,1,serie_a
Pinsoglio,P,Por,JUV,1,1,serie_a
Rouhi*,D,Ds;E,JUV,1,1,serie_a
Milik,A,Pc,JUV,1,1,serie_a
Mandas*,P,Por,LAZ,3,1,serie_a
Gigot,D,Dc,LAZ,4,1,serie_a
Hysaj,D,Dd;Ds;E,LAZ,3,1,serie_a
Fruchtl,P,Por,LEC,1,1,serie_a
Samooja,P,Por,LEC,1,1,serie_a
Perez M.,D,Dd;Dc,LEC,1,1,serie_a
Kouassi*,D,Dd;Dc,LEC,4,1,serie_a
Ndaba,D,Ds;E,LEC,1,1,serie_a
Pierret*,C,M;C,LEC,6,1,serie_a
Rafia*,C,C;T,LEC,3,1,serie_a
Marchwinski,C,T,LEC,1,1,serie_a
Terracciano,P,Por,MIL,1,1,serie_a
Torriani,P,Por,MIL,1,1,serie_a
Liberali*,C,W;T,MIL,1,1,serie_a
Contini,P,Por,NAP,1,1,serie_a
Rinaldi,P,Por,PAR,1,1,serie_a
Nicolas,P,Por,PIS,1,1,serie_a
Scuffet,P,Por,PIS,3,1,serie_a
Coppola F.,D,Dc,PIS,1,1,serie_a
Mbambi*,D,Dc,PIS,1,1,serie_a
Esteves T.*,D,Dd;E,PIS,1,1,serie_a
Arena*,C,W;T,PIS,1,1,serie_a
Buffon L.*,A,A,PIS,1,1,serie_a
Bonfanti N.*,A,Pc,PIS,1,1,serie_a
Zelezny,P,Por,ROM,1,1,serie_a
Gollini,P,Por,ROM,1,1,serie_a
Abdulhamid*,D,Dd;E,ROM,1,1,serie_a
Russo A.*,P,Por,SAS,1,1,serie_a
Satalino,P,Por,SAS,1,1,serie_a
Odenthal*,D,Dc,SAS,3,1,serie_a
Romagna,D,Dc,SAS,4,1,serie_a
Paz Y.*,D,Dd;E,SAS,1,1,serie_a
Pieragnolo,D,Ds;E,SAS,2,1,serie_a
Moro L.,A,Pc,SAS,1,1,serie_a
Skjellerup*,A,Pc,SAS,1,1,serie_a
Donnarumma An.*,P,Por,TOR,1,1,serie_a
Israel,P,Por,TOR,9,1,serie_a
Popa*,P,Por,TOR,1,1,serie_a
Schuurs*,D,Dc,TOR,3,1,serie_a
Dembelè A.*,D,Dd;E,TOR,1,1,serie_a
Tameze,C,M;C,TOR,5,1,serie_a
Ilic,C,C,TOR,7,1,serie_a
Padelli,P,Por,UDI,1,1,serie_a
Sava,P,Por,UDI,4,1,serie_a
Rui Modesto*,D,E,UDI,3,1,serie_a
Pafundi*,C,T;A,UDI,1,1,serie_a
Pizarro*,A,Pc,UDI,1,1,serie_a
Perilli,P,Por,VER,1,1,serie_a
Santiago*,C,C,VER,2,1,serie_a
Kastanos*,C,C;T,VER,4,1,serie_a
Cissè A.*,C,W;T,VER,1,1,serie_a
Vasquez D.*,P,Por,ROM,1,1,serie_a
Aboukhlal,A,A,TOR,9,1,serie_a
Nunziante,P,Por,UDI,1,1,serie_a
Lezzerini,P,Por,FIO,1,1,serie_a
Denoon,D,Dc,PIS,2,1,serie_a
Candè,D,Ds;Dc,SAS,6,1,serie_a
Silvestri,P,Por,CRE,1,1,serie_a
Godfrey*,D,B;Dd;Ds,ATA,1,1,serie_a
Rog*,C,M;C,CAG,1,1,serie_a
Frigan,A,Pc,PAR,7,1,serie_a
Adzic,C,C;T,JUV,1,1,serie_a
Cuenca H.*,C,W;T,GEN,1,1,serie_a
Toniolo,P,Por,VER,1,1,serie_a
Kouamè*,A,A,FIO,1,1,serie_a
Kouadio,D,Dc,FIO,1,1,serie_a
Vranckx,C,M;C,SAS,4,1,serie_a
Sala A.,C,C,LEC,3,1,serie_a
Stengs,C,W;T,PIS,11,1,serie_a
Cavlina,P,Por,COM,1,1,serie_a
Balentien,A,A,MIL,1,1,serie_a
Lamptey*,D,Dd;Ds;E,FIO,4,1,serie_a
Onana J.,C,M;C,GEN,2,1,serie_a
Faye,D,Dc,CRE,4,1,serie_a
Odogu,D,Dc,MIL,2,1,serie_a
Albiol,D,Dc,PIS,5,1,serie_a
Cremaschi,C,C,PAR,5,1,serie_a
Palacios T.*,D,Dc,INT,1,1,serie_a
Arena A.,A,Pc,ROM,1,1,serie_a
Ferrante,P,Por,NAP,1,1,serie_a
Calligaris,P,Por,INT,1,1,serie_a
Tornqvist,P,Por,COM,1,1,serie_a
Sherri,P,Por,CAG,1,1,serie_a
Isaac,A,Pc,VER,1,1,serie_a
Trepy,A,Pc,CAG,1,1,serie_a
Fofana Sa.,C,M;C,LEC,1,1,serie_a
Bozhinov,D,Dc,PIS,2,1,serie_a
Przyborek,C,W;T,LAZ,2,1,serie_a
Raterink,D,Dd;E,CAG,1,1,serie_a
Lahdo,C,C;T,COM,2,1,serie_a
Siviero,P,Por,TOR,1,1,serie_a
Vermesan,A,Pc,VER,1,1,serie_a
Pannozzo,P,Por,LAZ,1,1,serie_a
Giacomone,P,Por,LAZ,1,1,serie_a
Mosconi,A,A,INT,1,1,serie_a
Kane,A,Pc,BAY,37,54,euroleghe
Olise,C,W;A,BAY,30,43,euroleghe
Haaland,A,Pc,MCI,39,43,euroleghe
Mbappè,A,Pc,MAD,40,41,euroleghe
Lamine Yamal,A,A,FCB,28,39,euroleghe
Luis Diaz,A,A,BAY,21,38,euroleghe
Malen,A,A,ROM,10,36,euroleghe
Greenwood,A,A,OLM,22,35,euroleghe
Martinez L.,A,Pc,INT,29,35,euroleghe
Diomande Y.,C,W;A,RBL,2,34,euroleghe
Undav,A,A,STU,13,34,euroleghe
Raphinha,A,A,FCB,29,33,euroleghe
Vinicius Junior,A,A,MAD,27,32,euroleghe
Barcola B.,A,A,PSG,16,31,euroleghe
Schick,A,Pc,B04,22,31,euroleghe
Demirovic,A,Pc,STU,15,31,euroleghe
Bruno Fernandes,C,T,MUN,21,31,euroleghe
Ezzalzouli,A,W;A,BET,7,31,euroleghe
Thuram,A,Pc,INT,21,31,euroleghe
Guirassy,A,Pc,DOR,31,30,euroleghe
Torres F.,A,A,FCB,11,30,euroleghe
Dembelè O.,A,A,PSG,32,29,euroleghe
Baumgartner C.,C,W;T,RBL,6,29,euroleghe
Joao Pedro J.,A,Pc,CHE,23,29,euroleghe
Dimarco,D,E,INT,17,29,euroleghe
Lewandowski,A,Pc,FCB,34,28,euroleghe
Aubameyang,A,Pc,OLM,10,27,euroleghe
Douè D.,A,W;A,PSG,21,27,euroleghe
Beier,A,A,DOR,11,27,euroleghe
Burkardt,A,Pc,SGE,15,27,euroleghe
Gyokeres,A,Pc,ARS,36,27,euroleghe
Fernandez E.,C,C,CHE,15,27,euroleghe
Rashford,A,A,FCB,12,27,euroleghe
Fati,A,A,AMO,4,26,euroleghe
Balogun,A,Pc,AMO,8,26,euroleghe
Kvaratskhelia,A,A,PSG,20,26,euroleghe
Grimaldo,D,E,B04,14,26,euroleghe
Leweling,C,W;A,STU,9,26,euroleghe
Palmer,C,T,CHE,31,26,euroleghe
Mbeumo,A,A,MUN,19,26,euroleghe
Bowen,A,A,WHU,19,26,euroleghe
Sorloth,A,Pc,ATM,19,26,euroleghe
Lopez F.,C,T,FCB,8,26,euroleghe
Gouiri,A,A,OLM,14,25,euroleghe
Fuhrich,C,W;A,STU,9,25,euroleghe
Cunha,A,Pc,MUN,19,25,euroleghe
Hojlund,A,Pc,NAP,9,25,euroleghe
Olmo,C,T,FCB,21,25,euroleghe
Mikautadze,A,Pc,VIL,13,25,euroleghe
Brandt,C,W;T,DOR,13,24,euroleghe
Fornals,C,C;W;T,BET,7,24,euroleghe
Moleiro,C,W;T,VIL,6,24,euroleghe
Scamacca,A,Pc,ATA,9,24,euroleghe
Yildiz,A,A,JUV,15,24,euroleghe
Pulisic,C,T;A,MIL,23,24,euroleghe
McTominay,C,C;T,NAP,20,24,euroleghe
Gnabry,C,W;A,BAY,13,23,euroleghe
Sesko,A,Pc,MUN,19,23,euroleghe
Saka,A,W;A,ARS,21,23,euroleghe
Welbeck,A,Pc,BRH,8,23,euroleghe
Ekitike,A,Pc,LIV,24,23,euroleghe
Cherki,C,W;T,MCI,11,23,euroleghe
Doku,C,W;A,MCI,16,23,euroleghe
Casemiro,C,M;C,MUN,6,23,euroleghe
Richarlison,A,Pc,TOT,5,23,euroleghe
Griezmann,A,A,ATM,18,23,euroleghe
Pepe N.,C,W;A,VIL,9,23,euroleghe
Eze,C,W;T,ARS,17,23,euroleghe
Adeyemi,A,A,DOR,12,22,euroleghe
Uzun,C,T,SGE,7,22,euroleghe
Salah,A,A,LIV,37,22,euroleghe
Antony,C,W;A,BET,9,22,euroleghe
Hernandez C.,A,Pc,BET,9,22,euroleghe
Moreno G.,A,Pc,VIL,8,22,euroleghe
Zielinski,C,C;T,INT,2,22,euroleghe
Fernandez-Pardo,A,A,LIL,9,21,euroleghe
Mittelstadt,D,Ds;E,STU,12,21,euroleghe
Rice,C,M;C,ARS,11,21,euroleghe
Trossard,A,A,ARS,13,21,euroleghe
Bruno Guimaraes,C,C,NEW,10,21,euroleghe
Pedri,C,C;T,FCB,12,21,euroleghe
Guler,C,W;T,MAD,9,21,euroleghe
Orsolini,C,W;A,BOL,24,21,euroleghe
Bonny,A,Pc,INT,2,21,euroleghe
Esposito F.P.,A,Pc,INT,3,21,euroleghe
Leao,A,A,MIL,13,21,euroleghe
Rabiot,C,C;T,MIL,19,20,euroleghe
Paixao,A,A,OLM,11,20,euroleghe
Joao Neves,C,M;C,PSG,9,20,euroleghe
Rogers,C,W;T,AVA,15,20,euroleghe
Gruda,C,W;T,RBL,6,20,euroleghe
Jackson,A,Pc,BAY,10,20,euroleghe
Szoboszlai,C,C;T,LIV,12,20,euroleghe
Foden,C,W;T,MCI,13,20,euroleghe
Navarro,C,W;T,ATB,3,20,euroleghe
Guruzeta,A,Pc,ATB,8,20,euroleghe
Buchanan T.,C,W,VIL,5,20,euroleghe
Isaksen,C,W;A,LAZ,7,20,euroleghe
Pavlovic,D,Dc,MIL,6,20,euroleghe
Krstovic,A,Pc,ATA,12,20,euroleghe
Guerreiro,D,Ds;E,BAY,13,19,euroleghe
Goretzka,C,M;C,BAY,7,19,euroleghe
Buendia,C,W;T,AVA,5,19,euroleghe
Watkins,A,Pc,AVA,23,19,euroleghe
Pedro Neto,A,A,CHE,12,19,euroleghe
Simeone G.,C,W,ATM,12,19,euroleghe
Valverde,C,C;T,MAD,12,19,euroleghe
Soulè,A,A,ROM,12,19,euroleghe
Doan,C,W;A,SGE,15,19,euroleghe
Poku,A,A,B04,3,19,euroleghe
Tiago Tomas,A,A,STU,3,19,euroleghe
Haraldsson,C,W;T,LIL,10,18,euroleghe
Hojbjerg,C,M;C,OLM,7,18,euroleghe
Tillman,C,W;T,B04,15,18,euroleghe
Musiala,C,T,BAY,23,18,euroleghe
O'Reilly,C,E;C,MCI,2,18,euroleghe
Osula,A,Pc,NEW,1,18,euroleghe
Summerville,A,W;A,WHU,4,18,euroleghe
Wilson,A,Pc,WHU,10,18,euroleghe
Garcia J.,P,Por,FCB,12,18,euroleghe
Bellingham,C,T,MAD,24,18,euroleghe
Castro S.,A,Pc,BOL,8,18,euroleghe
Mandragora,C,M;C,FIO,6,18,euroleghe
Bisseck,D,Dc,INT,4,18,euroleghe
Mkhitaryan,C,C;T,INT,4,18,euroleghe
Castellanos,A,Pc,WHU,9,18,euroleghe
Romulo,A,Pc,RBL,10,18,euroleghe
Guehi,D,Dc,MCI,19,18,euroleghe
Akliouche,C,W;T,AMO,11,17,euroleghe
Nuno Mendes,D,Ds;E,PSG,17,17,euroleghe
Kofane,A,Pc,B04,1,17,euroleghe
Kimmich,C,E;M,BAY,11,17,euroleghe
Ryerson,D,Dd;Ds;E,DOR,12,17,euroleghe
Raum,D,Ds;E,RBL,12,17,euroleghe
Nusa,C,W;A,RBL,15,17,euroleghe
Woltemade,A,A,NEW,17,17,euroleghe
Barkley,C,C,AVA,2,17,euroleghe
McGinn,C,C;T,AVA,8,17,euroleghe
Barnes,A,W;A,NEW,10,17,euroleghe
Carnesecchi,P,Por,ATA,11,17,euroleghe
Kean,A,Pc,FIO,29,17,euroleghe
Barella,C,C,INT,8,17,euroleghe
Conceicao,C,W;A,JUV,9,17,euroleghe
Thiaw,D,Dc,NEW,2,17,euroleghe
Modric,C,C,MIL,8,17,euroleghe
De Bruyne,C,T,NAP,14,17,euroleghe
Svilar,P,Por,ROM,13,17,euroleghe
Fabio Silva,A,Pc,DOR,8,17,euroleghe
El Khannouss,C,W;T,STU,5,17,euroleghe
Giroud,A,Pc,LIL,8,16,euroleghe
Donnarumma G.,P,Por,MCI,16,16,euroleghe
Mayulu,C,C;T,PSG,4,16,euroleghe
Lee K.,C,W;T,PSG,8,16,euroleghe
Tapsoba,D,Dc,B04,8,16,euroleghe
Garcia A.,C,M;C,B04,7,16,euroleghe
Laimer,D,Dd;E,BAY,7,16,euroleghe
Gross,C,M;C,BRH,9,16,euroleghe
Chaibi,C,W,SGE,6,16,euroleghe
Ouedraogo,C,C;T,RBL,1,16,euroleghe
Stiller,C,M;C,STU,7,16,euroleghe
Raya,P,Por,ARS,14,16,euroleghe
Gabriel Magalhaes,D,Dc,ARS,15,16,euroleghe
Minteh,C,W;A,BRH,11,16,euroleghe
Gakpo,A,A,LIV,10,16,euroleghe
Baena,C,W;T,ATM,15,16,euroleghe
McKennie,C,M;C,JUV,3,16,euroleghe
Gonzalez N.,A,W;A,ATM,4,16,euroleghe
Maignan,P,Por,MIL,14,16,euroleghe
Milinkovic-Savic V.,P,Por,NAP,3,16,euroleghe
Spinazzola,D,Ds;E,NAP,4,16,euroleghe
Kalimuendo,A,Pc,SGE,15,16,euroleghe
Semenyo,A,A,MCI,13,16,euroleghe
Cancelo,D,Dd;Ds;E,FCB,15,16,euroleghe
Safonov,P,Por,PSG,2,15,euroleghe
Vitinha,C,C,PSG,12,15,euroleghe
Rutter,A,A,BRH,9,15,euroleghe
Gravenberch,C,M;C,LIV,7,15,euroleghe
Wirtz,C,T;A,LIV,28,15,euroleghe
Tel,A,A,TOT,10,15,euroleghe
Comesana,C,M;C,VIL,7,15,euroleghe
Bastoni,D,Dc,INT,12,15,euroleghe
Saelemaekers,C,E;W,MIL,5,15,euroleghe
Wesley,D,E,ROM,10,15,euroleghe
Pisilli,C,C,ROM,2,15,euroleghe
Karl,C,W;T,BAY,1,15,euroleghe
Mbappè E.,C,C,LIL,2,14,euroleghe
Camara L.,C,M;C,AMO,7,14,euroleghe
Murillo M.*,D,B;Dd;E,OLM,8,14,euroleghe
Rowe,C,W;T,BOL,8,14,euroleghe
Schlotterbeck N.,D,Dc,DOR,2,14,euroleghe
Bensebaini,D,B;Ds;E,DOR,7,14,euroleghe
Svensson D.,D,Ds;E,DOR,10,14,euroleghe
Nmecha F.,C,C;T,DOR,7,14,euroleghe
Brown N.,D,Ds;E,SGE,11,14,euroleghe
Bahoya,C,W,SGE,7,14,euroleghe
Knauff,C,W,SGE,10,14,euroleghe
Timber J.,D,Dd;Ds;Dc,ARS,11,14,euroleghe
Zubimendi,C,M;C,ARS,7,14,euroleghe
Merino,C,C;T,ARS,11,14,euroleghe
Martinez E.,P,Por,AVA,7,14,euroleghe
Hinshelwood,C,E;M,BRH,5,14,euroleghe
Ayari,C,C,BRH,5,14,euroleghe
Mitoma,C,W;A,BRH,14,14,euroleghe
Diallo Am.,C,W;A,MUN,13,14,euroleghe
Gordon,A,W;A,NEW,10,14,euroleghe
Soucek,C,M;C,WHU,11,14,euroleghe
Williams N.,A,A,ATB,17,14,euroleghe
Oblak,P,Por,ATM,17,14,euroleghe
Alvarez J.,A,Pc,ATM,23,14,euroleghe
Bellerin,D,Dd;E,BET,7,14,euroleghe
Perraud,D,Ds;E,LIL,6,14,euroleghe
Courtois,P,Por,MAD,15,14,euroleghe
Garcia G.,A,Pc,MAD,6,14,euroleghe
Yeremy Pino*,C,W,VIL,13,14,euroleghe
Calhanoglu,C,M;C,INT,16,14,euroleghe
Di Gregorio,P,Por,JUV,14,14,euroleghe
Bremer,D,Dc,JUV,10,14,euroleghe
Cancellieri,A,W;A,LAZ,1,14,euroleghe
Noslin,A,A,LAZ,2,14,euroleghe
Pedro,A,A,LAZ,3,14,euroleghe
Mancini,D,Dc,ROM,8,14,euroleghe
N'Dicka,D,Dc,ROM,7,14,euroleghe
Cristante,C,M;C,ROM,3,14,euroleghe
Pellegrini Lo.,C,C;T,ROM,4,14,euroleghe
Ozer,P,Por,LIL,7,14,euroleghe
Harder,A,A,RBL,10,14,euroleghe
Meunier,D,Dd;E,LIL,8,13,euroleghe
Andrè,C,M;C,LIL,5,13,euroleghe
Hakimi,D,Dd;E,PSG,19,13,euroleghe
Hofmann,C,W;T,B04,7,13,euroleghe
Maza,C,T;A,B04,4,13,euroleghe
Terrier,A,A,B04,4,13,euroleghe
Urbig,P,Por,BAY,1,13,euroleghe
Stanisic,D,B;Dd;Ds,BAY,9,13,euroleghe
Pavlovic A.,C,M;C,BAY,7,13,euroleghe
Coman*,A,W;A,BAY,13,13,euroleghe
Havertz,A,A,ARS,10,13,euroleghe
Cash,D,Dd;E,AVA,8,13,euroleghe
De Cuyper,D,Ds;E,BRH,8,13,euroleghe
Van Dijk,D,Dc,LIV,14,13,euroleghe
Akanji,D,Dc,INT,9,13,euroleghe
Bernardo Silva,C,W;T,MCI,12,13,euroleghe
Murphy,A,W;A,NEW,15,13,euroleghe
Joao Palhinha,C,M;C,TOT,7,13,euroleghe
Bernal,C,M;C,FCB,3,13,euroleghe
Bakambu,A,Pc,BET,4,13,euroleghe
Gueye P.,C,M;C,VIL,5,13,euroleghe
Perez A.,A,Pc,VIL,14,13,euroleghe
Zappacosta,D,E,ATA,10,13,euroleghe
Ederson D.S.,C,M;C,ATA,8,13,euroleghe
Lookman,A,A,ATM,21,13,euroleghe
Skorupski,P,Por,BOL,6,13,euroleghe
Odgaard,C,T;A,BOL,10,13,euroleghe
Sommer,P,Por,INT,14,13,euroleghe
Kalulu,D,Dd;Dc,JUV,6,13,euroleghe
Politano,C,W,NAP,8,13,euroleghe
Celik,D,B;Dd;E,ROM,3,13,euroleghe
Ngumoha,A,W;A,LIV,1,13,euroleghe
Fernandes M.,C,C,WHU,7,13,euroleghe
Bentaleb,C,M;C,LIL,4,12,euroleghe
Correia,C,W;A,LIL,5,12,euroleghe
Biereth,A,Pc,AMO,24,12,euroleghe
Zaire-Emery,C,E;C,PSG,5,12,euroleghe
Ruiz,C,C,PSG,11,12,euroleghe
Ramos G.,A,Pc,PSG,9,12,euroleghe
Boniface*,A,Pc,B04,13,12,euroleghe
Neuer,P,Por,BAY,15,12,euroleghe
