nome,ruolo,ruolo_mantra,squadra,presenze,media_voto,fantamedia,gol,gol_subiti,rigori_tirati,rigori_parati,assist,ammonizioni,espulsioni,stagione
Sorensen O.,C,C,PAR,30,5.85,5.95,1,0,0,0,1,2,0,2025-26
Kolasinac,D,B;Ds;E,ATA,17,6.03,5.94,0,0,0,0,0,3,0,2025-26
Acerbi,D,Dc,INT,16,6.03,5.94,0,0,0,0,0,3,0,2025-26
Mazzocchi,D,Dd;Ds;E,NAP,9,5.94,5.94,0,0,0,0,1,0,1,2025-26
Angori,D,Ds;E,PIS,35,5.91,5.94,0,0,0,0,2,2,0,2025-26
Cutrone,A,Pc,PAR,14,5.71,5.93,1,0,0,0,0,0,0,2025-26
Romagnoli,D,Dc,LAZ,32,6.03,5.92,0,0,0,0,0,5,1,2025-26
Circati,D,Dc,PAR,31,5.92,5.92,1,0,0,0,0,6,0,2025-26
Oristanio,C,W;T;A,PAR,18,5.78,5.92,1,0,0,0,0,1,0,2025-26
Gueye,A,Pc,UDI,13,5.77,5.92,1,0,0,0,0,2,0,2025-26
Ellertsson,C,C;W,GEN,35,5.84,5.91,1,0,0,0,1,1,1,2025-26
Coco,D,Dc,TOR,35,5.84,5.91,1,0,0,0,1,3,0,2025-26
Luperto,D,Dc,CRE,34,5.84,5.9,1,0,0,0,1,4,0,2025-26
De Winter,D,Dd;Dc,MIL,24,5.75,5.9,1,0,0,0,1,1,0,2025-26
Masini,C,M;C,GEN,21,5.98,5.9,0,0,0,0,1,5,0,2025-26
Lipani,C,M;C,SAS,21,5.93,5.9,0,0,0,0,1,3,0,2025-26
Ismajli,D,Dc,TOR,24,5.92,5.9,0,0,0,0,2,5,0,2025-26
Idzes,D,Dc,SAS,35,5.94,5.9,0,0,0,0,0,3,0,2025-26
Sarmiento J.,C,W;T,CRE,5,5.9,5.9,0,0,0,0,0,0,0,2025-26
Lucumì,D,Dc,BOL,28,5.88,5.89,1,0,0,0,0,5,0,2025-26
Zortea,D,E,BOL,28,5.86,5.89,0,0,0,0,2,2,0,2025-26
Frattesi,C,C;T,INT,14,5.89,5.89,0,0,0,0,0,0,0,2025-26
Muharemovic,D,Dc,SAS,32,5.91,5.89,2,0,0,0,1,7,0,2025-26
Sanabria,A,Pc,CRE,23,5.76,5.89,1,0,0,0,1,2,0,2025-26
Adopo,C,M;C,CAG,38,5.83,5.88,1,0,0,0,1,4,0,2025-26
Prati,C,M;C,TOR,32,5.88,5.88,1,0,0,0,0,6,0,2025-26
Tomori,D,Dc,MIL,32,5.97,5.88,0,0,0,0,1,6,1,2025-26
Buongiorno,D,Dc,NAP,32,5.89,5.88,0,0,0,0,1,3,0,2025-26
Pierini,A,A,SAS,4,6.0,5.88,0,0,0,0,0,1,0,2025-26
Ilic,C,C,TOR,8,6.0,5.88,0,0,0,0,0,2,0,2025-26
Barbieri,D,Dd;Ds;E,CRE,26,5.98,5.87,0,0,0,0,1,8,0,2025-26
Kamara H.,D,Ds;E,UDI,26,5.88,5.87,0,0,0,0,2,5,0,2025-26
Hien,D,Dc,ATA,28,5.91,5.86,1,0,0,0,0,5,0,2025-26
Vitik,D,Dc,BOL,18,5.94,5.86,0,0,0,0,0,3,0,2025-26
Venturino,C,W,ROM,7,5.86,5.86,0,0,0,0,0,0,0,2025-26
Dia,A,Pc,LAZ,25,5.68,5.86,1,0,0,0,2,1,0,2025-26
Payero,C,C,CRE,25,5.9,5.86,1,0,0,0,0,8,0,2025-26
Provstgaard,D,Dc,LAZ,23,5.91,5.85,0,0,0,0,0,3,0,2025-26
Ramadani,C,M;C,LEC,37,5.91,5.85,1,0,0,0,0,10,0,2025-26
Pierotti,C,W;A,LEC,37,5.8,5.85,1,0,0,0,1,4,0,2025-26
Harroui,C,W;T,VER,17,5.74,5.85,1,0,1,0,0,3,0,2025-26
Smolcic I.,D,Dd;Dc,COM,25,5.96,5.84,0,0,0,0,1,8,0,2025-26
Marcandalli,D,Dc,GEN,31,5.87,5.84,0,0,0,0,1,4,0,2025-26
Gabbia,D,Dc,MIL,29,5.91,5.84,0,0,0,0,0,4,0,2025-26
Bertola,D,Dc,UDI,25,5.86,5.84,0,0,0,0,1,3,0,2025-26
Frese,D,Ds;E,VER,31,5.84,5.84,2,0,0,0,0,8,0,2025-26
Bradaric,D,Ds;E,VER,29,5.81,5.84,0,0,0,0,2,2,0,2025-26
Gagliardini,C,M;C,VER,29,5.91,5.84,1,0,0,0,0,10,0,2025-26
Fazzini,C,C;T,FIO,12,5.88,5.83,0,0,0,0,0,2,0,2025-26
Dele-Bashiru,C,C;T,LAZ,21,5.69,5.83,1,0,0,0,0,0,0,2025-26
Terracciano F.,D,Dd;Ds;E,CRE,35,5.86,5.83,2,0,0,0,0,6,0,2025-26
Valenti,D,Dc,PAR,27,5.96,5.83,0,0,0,0,0,7,0,2025-26
Meister,A,Pc,PIS,27,5.65,5.83,2,0,0,0,0,2,0,2025-26
Bayo V.,A,Pc,UDI,12,5.75,5.83,0,0,0,0,1,0,0,2025-26
Iling Junior,C,E;W,PIS,3,5.83,5.83,0,0,0,0,0,0,0,2025-26
Bellanova,D,E,ATA,22,5.82,5.82,0,0,0,0,1,2,0,2025-26
Obert,D,Ds;Dc,CAG,34,5.88,5.82,0,0,0,0,3,8,1,2025-26
Belahyane,C,M;C,LAZ,11,5.77,5.82,0,0,0,0,2,1,1,2025-26
Tourè I.,C,E;M,PIS,30,5.82,5.82,1,0,0,0,0,4,1,2025-26
Pellegrini Lu.,D,Ds;E,LAZ,24,5.85,5.81,1,0,0,0,0,8,0,2025-26
Ordonez C.,C,M;C,PAR,21,5.79,5.81,1,0,0,0,0,3,1,2025-26
Gineitis,C,C,TOR,27,5.87,5.81,0,0,0,0,1,5,0,2025-26
Nkounkou,D,Ds;E,TOR,8,5.81,5.81,0,0,0,0,1,3,0,2025-26
